Occupation,Category,All_workers,M_workers,M_weekly,F_workers,F_weekly
"Bookkeeping, accounting, and auditing clerks",OFFICE,769.0,87.0,690.0,682.0,692.0
Gaming cage workers,OFFICE,11.0,2.0,Na,10.0,Na
Payroll and timekeeping clerks,OFFICE,128.0,17.0,Na,111.0,751.0
Procurement clerks,OFFICE,35.0,15.0,Na,21.0,Na
Tellers,OFFICE,264.0,33.0,Na,231.0,516.0
"Financial clerks, all other",OFFICE,61.0,30.0,Na,32.0,Na
Brokerage clerks,OFFICE,3.0,1.0,Na,1.0,Na
Correspondence clerks,OFFICE,3.0,1.0,Na,2.0,Na
"Court, municipal, and license clerks",OFFICE,60.0,9.0,Na,51.0,743.0
"Credit authorizers, checkers, and clerks",OFFICE,42.0,12.0,Na,29.0,Na
Customer service representatives,OFFICE,1760.0,611.0,690.0,1149.0,604.0
"Eligibility interviewers, government programs",OFFICE,67.0,17.0,Na,50.0,805.0
File clerks,OFFICE,145.0,25.0,Na,120.0,627.0
"Hotel, motel, and resort desk clerks",OFFICE,127.0,58.0,486.0,69.0,467.0
"Interviewers, except eligibility and loan",OFFICE,105.0,16.0,Na,89.0,617.0
"Library assistants, clerical",OFFICE,35.0,7.0,Na,28.0,Na
Loan interviewers and clerks,OFFICE,134.0,25.0,Na,109.0,722.0
New accounts clerks,OFFICE,20.0,3.0,Na,17.0,Na
Order clerks,OFFICE,74.0,26.0,Na,48.0,Na
"Human resources assistants, except payroll and timekeeping",OFFICE,50.0,11.0,Na,40.0,Na
Receptionists and information clerks,OFFICE,852.0,72.0,619.0,781.0,569.0
Reservation and transportation ticket agents and travel clerks,OFFICE,95.0,34.0,Na,61.0,680.0
"Information and record clerks, all other",OFFICE,100.0,22.0,Na,78.0,616.0
Cargo and freight agents,OFFICE,20.0,12.0,Na,9.0,Na
Couriers and messengers,OFFICE,153.0,134.0,750.0,19.0,Na
Dispatchers,OFFICE,250.0,109.0,759.0,141.0,655.0
"Meter readers, utilities",OFFICE,39.0,34.0,Na,4.0,Na
Postal service clerks,OFFICE,127.0,76.0,974.0,51.0,833.0
Postal service mail carriers,OFFICE,302.0,187.0,1021.0,115.0,854.0
"Postal service mail sorters, processors, and processing machine operators",OFFICE,53.0,27.0,Na,26.0,Na
"Production, planning, and expediting clerks",OFFICE,256.0,116.0,978.0,141.0,732.0
"Shipping, receiving, and traffic clerks",OFFICE,502.0,354.0,604.0,148.0,566.0
Stock clerks and order fillers,OFFICE,1027.0,651.0,537.0,376.0,506.0
"Weighers, measurers, checkers, and samplers, recordkeeping",OFFICE,59.0,29.0,Na,31.0,Na
Secretaries and administrative assistants,OFFICE,2223.0,124.0,786.0,2099.0,683.0
Computer operators,OFFICE,58.0,25.0,Na,33.0,Na
Data entry keyers,OFFICE,223.0,55.0,589.0,169.0,638.0
Word processors and typists,OFFICE,68.0,6.0,Na,62.0,639.0
Desktop publishers,OFFICE,1.0,1.0,Na,0.0,Na
Insurance claims and policy processing clerks,OFFICE,259.0,56.0,762.0,203.0,675.0
"Mail clerks and mail machine operators, except postal service",OFFICE,63.0,24.0,Na,39.0,Na
"Office clerks, general",OFFICE,929.0,156.0,609.0,773.0,622.0
"Office machine operators, except computer",OFFICE,31.0,14.0,Na,16.0,Na
Proofreaders and copy markers,OFFICE,2.0,0.0,Na,2.0,Na
Statistical assistants,OFFICE,15.0,5.0,Na,10.0,Na
"Office and administrative support workers, all other",OFFICE,391.0,93.0,852.0,298.0,718.0
AGRICULTURAL,OFFICE,810.0,637.0,477.0,174.0,437.0
"First-line supervisors of farming, fishing, and forestry workers",OFFICE,42.0,32.0,Na,10.0,Na
Agricultural inspectors,OFFICE,12.0,7.0,Na,6.0,Na
Animal breeders,OFFICE,2.0,2.0,Na,0.0,Na
"Graders and sorters, agricultural products",OFFICE,83.0,32.0,Na,51.0,468.0
Miscellaneous agricultural workers,OFFICE,613.0,511.0,460.0,102.0,398.0
Fishers and related fishing workers,OFFICE,11.0,11.0,Na,0.0,Na
Hunters and trappers,OFFICE,0.0,0.0,Na,0.0,Na
Forest and conservation workers,OFFICE,15.0,10.0,Na,5.0,Na
Logging workers,OFFICE,31.0,31.0,Na,0.0,Na
First-line supervisors of construction trades and extraction workers,CONSTRUCTION,560.0,540.0,1047.0,20.0,Na
Boilermakers,CONSTRUCTION,21.0,21.0,Na,0.0,Na
"Brickmasons, blockmasons, and stonemasons",CONSTRUCTION,122.0,122.0,652.0,0.0,Na
Carpenters,CONSTRUCTION,802.0,792.0,687.0,10.0,Na
"Carpet, floor, and tile installers and finishers",CONSTRUCTION,89.0,89.0,634.0,1.0,Na
"Cement masons, concrete finishers, and terrazzo workers",CONSTRUCTION,44.0,44.0,Na,0.0,Na
Construction laborers,CONSTRUCTION,1181.0,1155.0,642.0,25.0,Na
"Paving, surfacing, and tamping equipment operators",CONSTRUCTION,10.0,10.0,Na,0.0,Na
Pile-driver operators,CONSTRUCTION,2.0,2.0,Na,0.0,Na
Operating engineers and other construction equipment operators,CONSTRUCTION,324.0,318.0,859.0,6.0,Na
"Drywall installers, ceiling tile installers, and tapers",CONSTRUCTION,121.0,119.0,595.0,2.0,Na
Electricians,CONSTRUCTION,651.0,632.0,891.0,19.0,Na
Glaziers,CONSTRUCTION,33.0,32.0,Na,0.0,Na
Insulation workers,CONSTRUCTION,43.0,41.0,Na,3.0,Na
"Painters, construction and maintenance",CONSTRUCTION,344.0,330.0,587.0,14.0,Na
Paperhangers,CONSTRUCTION,0.0,0.0,Na,0.0,Na
"Pipelayers, plumbers, pipefitters, and steamfitters",CONSTRUCTION,456.0,455.0,862.0,2.0,Na
Plasterers and stucco masons,CONSTRUCTION,20.0,19.0,Na,1.0,Na
Reinforcing iron and rebar workers,CONSTRUCTION,9.0,9.0,Na,0.0,Na
Roofers,CONSTRUCTION,171.0,170.0,580.0,2.0,Na
Sheet metal workers,CONSTRUCTION,106.0,100.0,776.0,6.0,Na
Structural iron and steel workers,CONSTRUCTION,54.0,52.0,864.0,2.0,Na
Solar photovoltaic installers,CONSTRUCTION,8.0,8.0,Na,0.0,Na
"Helpers, construction trades",CONSTRUCTION,47.0,47.0,Na,0.0,Na
Construction and building inspectors,CONSTRUCTION,67.0,58.0,965.0,9.0,Na
Elevator installers and repairers,CONSTRUCTION,23.0,23.0,Na,0.0,Na
Fence erectors,CONSTRUCTION,33.0,33.0,Na,0.0,Na
Hazardous materials removal workers,CONSTRUCTION,39.0,35.0,Na,5.0,Na
Highway maintenance workers,CONSTRUCTION,91.0,91.0,755.0,0.0,Na
Rail-track laying and maintenance equipment operators,CONSTRUCTION,9.0,9.0,Na,0.0,Na
Septic tank servicers and sewer pipe cleaners,CONSTRUCTION,8.0,8.0,Na,0.0,Na
Miscellaneous construction and related workers,CONSTRUCTION,25.0,23.0,Na,2.0,Na
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",CONSTRUCTION,28.0,27.0,Na,1.0,Na
"Earth drillers, except oil and gas",CONSTRUCTION,30.0,30.0,Na,0.0,Na
"Explosives workers, ordnance handling experts, and blasters",CONSTRUCTION,5.0,5.0,Na,0.0,Na
Mining machine operators,CONSTRUCTION,68.0,65.0,1098.0,2.0,Na
"Roof bolters, mining",CONSTRUCTION,3.0,3.0,Na,0.0,Na
"Roustabouts, oil and gas",CONSTRUCTION,7.0,7.0,Na,0.0,Na
Helpers--extraction workers,CONSTRUCTION,6.0,6.0,Na,0.0,Na
Other extraction workers,CONSTRUCTION,61.0,58.0,918.0,3.0,Na
"First-line supervisors of mechanics, installers, and repairers",MAINTENANCE,270.0,252.0,1033.0,18.0,Na
"Computer, automated teller, and office machine repairers",MAINTENANCE,194.0,166.0,865.0,28.0,Na
Radio and telecommunications equipment installers and repairers,MAINTENANCE,139.0,126.0,879.0,13.0,Na
Avionics technicians,MAINTENANCE,4.0,4.0,Na,0.0,Na
"Electric motor, power tool, and related repairers",MAINTENANCE,22.0,20.0,Na,1.0,Na
"Electrical and electronics installers and repairers, transportation equipment",MAINTENANCE,2.0,2.0,Na,0.0,Na
"Electrical and electronics repairers, industrial and utility",MAINTENANCE,18.0,17.0,Na,0.0,Na
"Electronic equipment installers and repairers, motor vehicles",MAINTENANCE,17.0,17.0,Na,0.0,Na
Electronic home entertainment equipment installers and repairers,MAINTENANCE,30.0,28.0,Na,2.0,Na
Security and fire alarm systems installers,MAINTENANCE,67.0,65.0,913.0,2.0,Na
Aircraft mechanics and service technicians,MAINTENANCE,133.0,125.0,1032.0,7.0,Na
Automotive body and related repairers,MAINTENANCE,120.0,118.0,849.0,2.0,Na
Automotive glass installers and repairers,MAINTENANCE,21.0,20.0,Na,1.0,Na
Automotive service technicians and mechanics,MAINTENANCE,710.0,694.0,724.0,16.0,Na
Bus and truck mechanics and diesel engine specialists,MAINTENANCE,327.0,327.0,830.0,0.0,Na
Heavy vehicle and mobile equipment service technicians and mechanics,MAINTENANCE,206.0,206.0,928.0,0.0,Na
Small engine mechanics,MAINTENANCE,39.0,39.0,Na,0.0,Na
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",MAINTENANCE,66.0,65.0,591.0,1.0,Na
Control and valve installers and repairers,MAINTENANCE,23.0,23.0,Na,0.0,Na
"Heating, air conditioning, and refrigeration mechanics and installers",MAINTENANCE,341.0,337.0,810.0,4.0,Na
Home appliance repairers,MAINTENANCE,36.0,36.0,Na,0.0,Na
Industrial and refractory machinery mechanics,MAINTENANCE,394.0,383.0,894.0,11.0,Na
"Maintenance and repair workers, general",MAINTENANCE,469.0,459.0,771.0,10.0,Na
"Maintenance workers, machinery",MAINTENANCE,31.0,30.0,Na,1.0,Na
Millwrights,MAINTENANCE,49.0,48.0,Na,1.0,Na
Electrical power-line installers and repairers,MAINTENANCE,113.0,112.0,1105.0,0.0,Na
Telecommunications line installers and repairers,MAINTENANCE,157.0,148.0,880.0,9.0,Na
Precision instrument and equipment repairers,MAINTENANCE,64.0,60.0,1009.0,4.0,Na
Wind turbine service technicians,MAINTENANCE,3.0,3.0,Na,0.0,Na
"Coin, vending, and amusement machine servicers and repairers",MAINTENANCE,38.0,34.0,Na,4.0,Na
Commercial divers,MAINTENANCE,1.0,1.0,Na,0.0,Na
Locksmiths and safe repairers,MAINTENANCE,12.0,12.0,Na,0.0,Na
Manufactured building and mobile home installers,MAINTENANCE,4.0,4.0,Na,1.0,Na
Riggers,MAINTENANCE,7.0,7.0,Na,0.0,Na
Signal and track switch repairers,MAINTENANCE,9.0,9.0,Na,0.0,Na
"Helpers--installation, maintenance, and repair workers",MAINTENANCE,17.0,17.0,Na,0.0,Na
"Other installation, maintenance, and repair workers",MAINTENANCE,150.0,144.0,810.0,6.0,Na
First-line supervisors of production and operating workers,PRODUCTION,783.0,650.0,924.0,133.0,623.0
"Aircraft structure, surfaces, rigging, and systems assemblers",PRODUCTION,15.0,11.0,Na,4.0,Na
"Electrical, electronics, and electromechanical assemblers",PRODUCTION,123.0,59.0,566.0,64.0,544.0
Engine and other machine assemblers,PRODUCTION,14.0,12.0,Na,2.0,Na
Structural metal fabricators and fitters,PRODUCTION,31.0,28.0,Na,3.0,Na
Miscellaneous assemblers and fabricators,PRODUCTION,950.0,573.0,637.0,377.0,512.0
Bakers,PRODUCTION,150.0,69.0,570.0,80.0,475.0
"Butchers and other meat, poultry, and fish processing workers",PRODUCTION,247.0,187.0,582.0,60.0,463.0
"Food and tobacco roasting, baking, and drying machine operators and tenders",PRODUCTION,9.0,7.0,Na,1.0,Na
Food batchmakers,PRODUCTION,79.0,25.0,Na,54.0,489.0
Food cooking machine operators and tenders,PRODUCTION,7.0,5.0,Na,2.0,Na
"Food processing workers, all other",PRODUCTION,132.0,82.0,679.0,50.0,508.0
Computer control programmers and operators,PRODUCTION,83.0,81.0,857.0,2.0,Na
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",PRODUCTION,8.0,7.0,Na,1.0,Na
"Forging machine setters, operators, and tenders, metal and plastic",PRODUCTION,6.0,6.0,Na,0.0,Na
"Rolling machine setters, operators, and tenders, metal and plastic",PRODUCTION,15.0,12.0,Na,3.0,Na
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",PRODUCTION,78.0,62.0,674.0,15.0,Na
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",PRODUCTION,5.0,5.0,Na,1.0,Na
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",PRODUCTION,41.0,39.0,Na,3.0,Na
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",PRODUCTION,12.0,11.0,Na,1.0,Na
"Milling and planing machine setters, operators, and tenders, metal and plastic",PRODUCTION,1.0,1.0,Na,0.0,Na
Machinists,PRODUCTION,338.0,320.0,840.0,17.0,Na
"Metal furnace operators, tenders, pourers, and casters",PRODUCTION,29.0,28.0,Na,1.0,Na
"Model makers and patternmakers, metal and plastic",PRODUCTION,6.0,3.0,Na,3.0,Na
"Molders and molding machine setters, operators, and tenders, metal and plastic",PRODUCTION,47.0,39.0,Na,9.0,Na
"Multiple machine tool setters, operators, and tenders, metal and plastic",PRODUCTION,1.0,1.0,Na,0.0,Na
Tool and die makers,PRODUCTION,49.0,49.0,Na,0.0,Na
"Welding, soldering, and brazing workers",PRODUCTION,568.0,545.0,767.0,23.0,Na
"Heat treating equipment setters, operators, and tenders, metal and plastic",PRODUCTION,4.0,4.0,Na,0.0,Na
"Layout workers, metal and plastic",PRODUCTION,4.0,4.0,Na,1.0,Na
"Plating and coating machine setters, operators, and tenders, metal and plastic",PRODUCTION,24.0,24.0,Na,0.0,Na
"Tool grinders, filers, and sharpeners",PRODUCTION,7.0,7.0,Na,0.0,Na
"Metal workers and plastic workers, all other",PRODUCTION,351.0,278.0,678.0,72.0,581.0
Prepress technicians and workers,PRODUCTION,14.0,12.0,Na,2.0,Na
Printing press operators,PRODUCTION,160.0,134.0,729.0,26.0,Na
Print binding and finishing workers,PRODUCTION,16.0,9.0,Na,6.0,Na
Laundry and dry-cleaning workers,PRODUCTION,133.0,53.0,487.0,80.0,460.0
"Pressers, textile, garment, and related materials",PRODUCTION,21.0,9.0,Na,12.0,Na
Sewing machine operators,PRODUCTION,147.0,42.0,Na,105.0,476.0
Shoe and leather workers and repairers,PRODUCTION,5.0,4.0,Na,1.0,Na
Shoe machine operators and tenders,PRODUCTION,1.0,0.0,Na,1.0,Na
"Tailors, dressmakers, and sewers",PRODUCTION,37.0,9.0,Na,27.0,Na
Textile bleaching and dyeing machine operators and tenders,PRODUCTION,2.0,2.0,Na,0.0,Na
"Textile cutting machine setters, operators, and tenders",PRODUCTION,9.0,7.0,Na,2.0,Na
"Textile knitting and weaving machine setters, operators, and tenders",PRODUCTION,8.0,3.0,Na,4.0,Na
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",PRODUCTION,7.0,5.0,Na,2.0,Na
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",PRODUCTION,0.0,0.0,Na,0.0,Na
Fabric and apparel patternmakers,PRODUCTION,4.0,3.0,Na,1.0,Na
Upholsterers,PRODUCTION,29.0,21.0,Na,7.0,Na
"Textile, apparel, and furnishings workers, all other",PRODUCTION,16.0,12.0,Na,4.0,Na
Cabinetmakers and bench carpenters,PRODUCTION,40.0,38.0,Na,2.0,Na
Furniture finishers,PRODUCTION,6.0,6.0,Na,0.0,Na
"Model makers and patternmakers, wood",PRODUCTION,0.0,0.0,Na,0.0,Na
"Sawing machine setters, operators, and tenders, wood",PRODUCTION,26.0,22.0,Na,4.0,Na
"Woodworking machine setters, operators, and tenders, except sawing",PRODUCTION,23.0,21.0,Na,1.0,Na
"Woodworkers, all other",PRODUCTION,17.0,14.0,Na,3.0,Na
"Power plant operators, distributors, and dispatchers",PRODUCTION,35.0,34.0,Na,1.0,Na
Stationary engineers and boiler operators,PRODUCTION,84.0,81.0,1012.0,3.0,Na
Water and wastewater treatment plant and system operators,PRODUCTION,82.0,79.0,868.0,3.0,Na
Miscellaneous plant and system operators,PRODUCTION,35.0,33.0,Na,3.0,Na
"Chemical processing machine setters, operators, and tenders",PRODUCTION,62.0,57.0,1082.0,5.0,Na
"Crushing, grinding, polishing, mixing, and blending workers",PRODUCTION,82.0,75.0,668.0,7.0,Na
Cutting workers,PRODUCTION,51.0,41.0,Na,9.0,Na
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",PRODUCTION,31.0,25.0,Na,6.0,Na
"Furnace, kiln, oven, drier, and kettle operators and tenders",PRODUCTION,6.0,5.0,Na,0.0,Na
"Inspectors, testers, sorters, samplers, and weighers",PRODUCTION,701.0,440.0,844.0,260.0,583.0
Jewelers and precious stone and metal workers,PRODUCTION,19.0,11.0,Na,7.0,Na
"Medical, dental, and ophthalmic laboratory technicians",PRODUCTION,86.0,44.0,Na,42.0,Na
Packaging and filling machine operators and tenders,PRODUCTION,239.0,118.0,605.0,120.0,482.0
Painting workers,PRODUCTION,129.0,110.0,733.0,18.0,Na
Photographic process workers and processing machine operators,PRODUCTION,26.0,12.0,Na,14.0,Na
Semiconductor processors,PRODUCTION,1.0,1.0,Na,0.0,Na
Adhesive bonding machine operators and tenders,PRODUCTION,9.0,5.0,Na,4.0,Na
"Cleaning, washing, and metal pickling equipment operators and tenders",PRODUCTION,4.0,2.0,Na,1.0,Na
Cooling and freezing equipment operators and tenders,PRODUCTION,4.0,3.0,Na,0.0,Na
Etchers and engravers,PRODUCTION,12.0,8.0,Na,4.0,Na
"Molders, shapers, and casters, except metal and plastic",PRODUCTION,14.0,12.0,Na,2.0,Na
"Paper goods machine setters, operators, and tenders",PRODUCTION,27.0,22.0,Na,5.0,Na
Tire builders,PRODUCTION,8.0,8.0,Na,0.0,Na
Helpers--production workers,PRODUCTION,24.0,18.0,Na,7.0,Na
"Production workers, all other",PRODUCTION,846.0,643.0,666.0,203.0,501.0
Supervisors of transportation and material moving workers,TRANSPORTATION,186.0,153.0,898.0,33.0,Na
Aircraft pilots and flight engineers,TRANSPORTATION,114.0,104.0,1830.0,9.0,Na
Air traffic controllers and airfield operations specialists,TRANSPORTATION,32.0,24.0,Na,8.0,Na
Flight attendants,TRANSPORTATION,63.0,20.0,Na,43.0,Na
"Ambulance drivers and attendants, except emergency medical technicians",TRANSPORTATION,18.0,14.0,Na,4.0,Na
Bus drivers,TRANSPORTATION,323.0,184.0,681.0,138.0,572.0
Driver/sales workers and truck drivers,TRANSPORTATION,2687.0,2582.0,751.0,105.0,632.0
Taxi drivers and chauffeurs,TRANSPORTATION,253.0,216.0,600.0,38.0,Na
"Motor vehicle operators, all other",TRANSPORTATION,21.0,18.0,Na,3.0,Na
Locomotive engineers and operators,TRANSPORTATION,44.0,42.0,Na,2.0,Na
"Railroad brake, signal, and switch operators",TRANSPORTATION,5.0,5.0,Na,0.0,Na
Railroad conductors and yardmasters,TRANSPORTATION,55.0,52.0,1137.0,4.0,Na
"Subway, streetcar, and other rail transportation workers",TRANSPORTATION,15.0,12.0,Na,3.0,Na
Sailors and marine oilers,TRANSPORTATION,10.0,9.0,Na,0.0,Na
Ship and boat captains and operators,TRANSPORTATION,29.0,28.0,Na,1.0,Na
Ship engineers,TRANSPORTATION,5.0,4.0,Na,1.0,Na
Bridge and lock tenders,TRANSPORTATION,4.0,4.0,Na,0.0,Na
Parking lot attendants,TRANSPORTATION,57.0,49.0,Na,8.0,Na
Automotive and watercraft service attendants,TRANSPORTATION,63.0,58.0,470.0,5.0,Na
Transportation inspectors,TRANSPORTATION,21.0,14.0,Na,7.0,Na
"Transportation attendants, except flight attendants",TRANSPORTATION,17.0,9.0,Na,8.0,Na
Other transportation workers,TRANSPORTATION,39.0,35.0,Na,4.0,Na
Conveyor operators and tenders,TRANSPORTATION,7.0,7.0,Na,0.0,Na
Crane and tower operators,TRANSPORTATION,75.0,71.0,1016.0,4.0,Na
"Dredge, excavating, and loading machine operators",TRANSPORTATION,25.0,25.0,Na,0.0,Na
Hoist and winch operators,TRANSPORTATION,5.0,5.0,Na,0.0,Na
Industrial truck and tractor operators,TRANSPORTATION,579.0,541.0,612.0,37.0,Na
Cleaners of vehicles and equipment,TRANSPORTATION,222.0,200.0,498.0,22.0,Na
"Laborers and freight, stock, and material movers, hand",TRANSPORTATION,1433.0,1214.0,547.0,219.0,455.0
Machine feeders and offbearers,TRANSPORTATION,30.0,21.0,Na,9.0,Na
"Packers and packagers, hand",TRANSPORTATION,385.0,158.0,462.0,227.0,424.0
Pumping station operators,TRANSPORTATION,18.0,17.0,Na,1.0,Na
Refuse and recyclable material collectors,TRANSPORTATION,72.0,66.0,496.0,6.0,Na
Mine shuttle car operators,TRANSPORTATION,0.0,0.0,Na,0.0,Na
"Tank car, truck, and ship loaders",TRANSPORTATION,6.0,6.0,Na,0.0,Na
"Material moving workers, all other",TRANSPORTATION,37.0,32.0,Na,5.0,Na